呼吸法标识,呼吸法名称,呼吸周期频率
1468214799086125056,丹田呼吸法,20
1468214799224537088,四七八安神呼吸法,10
1468214799358754816,四相调息法,11
1468214799480389632,三六五宁神法,12
1468214799610413056,呬字诀,30
1468214799736242177,吹字诀,30
1468214799736242178,呼字诀,30
1468214799736242179,嘻字诀,30
1468214799736242180,呵字诀,30
1468214799736242181,嘘字诀,30
1468214799883042816,敛息法,30
1468214800067592192,入多出少呼吸法,18
1468214800197615616,橐籥呼吸法,45
1468214800361193472,升阳导引呼吸法,15
1468214800482828288,太息导引法,30
1468214800600268800,嗡鸣安神法,30
1468214800742875136,闭气导引法,36
