名称,分类,介绍,节奏(吸:屏:呼:屏),时长,意念要点,主要功效,适应症
腹式呼吸,减压养生,通过膈肌上下移动进行的深层呼吸,4:2:6:0,5-10分钟,意守丹田；感受腹部如气球鼓起与塌陷,强化膈肌、降低皮质醇、按摩内脏,焦虑、消化不良、慢性压力
4-7-8呼吸,助眠减压,由安德鲁·韦尔医生推广的神经系统“天然镇静剂”,4:7:8:0,循环4-8组,舌尖抵住上齿龈；呼气发出“嘘”声,快速激活副交感神经、诱导入睡,失眠、急性焦虑、惊恐发作
盒式呼吸,心理调节,特种部队用于在高压环境下保持极度冷静的方法,4:4:4:4,5分钟,想象正方形的四条边；每一秒步速一致,提升专注力、实现高压下的冷静、平衡神经,考前紧张、特种任务、决策压力
365呼吸,健康管理,每天3次、每次5秒节奏、持续5分钟的心脏共振法,5:0:5:0,5分钟,匀速平滑切换；不留停顿；如同波浪,建立生物共振、长期稳定自主神经、调节血压,高血压、心率变异性(HRV)偏低
缩唇呼吸,医疗康复,通过增加呼气阻力防止气道过早闭合的训练,1:0:2-4,10-15分钟,如吹口哨样缓慢呼气；呼气时间必须长于吸气,增加气道压力、改善通气效率,慢阻肺(COPD)、肺气肿、气促
六字诀,传统功法,通过不同发音的声波震动来调理脏腑的传统气功,鼻吸:0:口吐,整套30分钟,以音导气；读“嘘、呵、呼、呬、吹、嘻”,调理脏腑功能、疏通经络气血,慢性病调理、中老年养生
布泰科(Buteyko),医疗康复,通过“减量呼吸”纠正过度通气、提升耐受力的方法,保持微弱饥饿感,15-20分钟,始终用鼻呼吸；减少呼吸量直至感到轻微空气不足,提升血氧利用率、缓解气道高反应性,哮喘、鼻塞、睡眠呼吸暂停
节律呼吸(3:2),运动专项,跑步时通过呼吸节奏与脚步落地频率错开的方法,3步吸:0:2步呼,运动全程,吸气跨三步、呼气跨两步；确保左右脚交替呼气,减轻冲击力对隔肌的负担、预防侧腹痛,中长跑、耐力训练、预防岔气
风箱式呼吸,瑜伽调息,一种强力、快速的泵动式呼吸技巧,等长快吸:0:等长快呼:0,1-3分钟,腹部如风箱般剧烈起伏；鼻腔进出气伴随响亮响声,瞬间提神、清理脑雾、加速新陈代谢,精神萎靡、清晨唤醒、清理呼吸道
Wim Hof法,体能增强,结合过度通气与长时间屏气的极端环境适应法,30次快吸快呼后长憋气,20-30分钟,感受身体刺痛或发热；挑战意志极限,增强免疫力、提高耐寒能力、抗炎,免疫系统调节、运动表现提升
生理性叹息,快速减压,神经生物学家Andrew Huberman推荐的实时减压法,双吸:0:单长呼,重复3-5次,鼻部连续吸两次（第二下补吸）；彻底吐尽,最快速度降低心率；快速重置肺泡,突发压力缓解、运动后顺气、心跳过快
蜂鸣呼吸法,瑜伽调息,利用共鸣震动大脑组织的放松技巧,鼻吸:0:共鸣呼,5分钟,食指塞耳；呼气发“Hmm”声；感受头颅震动,激活迷走神经、平复愤怒、缓解神经痛,情绪失控、偏头痛、精神疲劳
瓦氏呼吸,运动专项,通过憋气增加腹压以稳定脊椎的技术,吸气:屏气:发力后呼,单次动作间,吸气约70%-80%后屏气；紧缩核心,增加核心稳定性、保护脊柱,大重量力量训练（深蹲、硬拉）
