ID,名称,分类,组成药材及剂量,冲泡方法,核心功效,适应体质/证型,适用人群,饮用疗程,禁忌说明
1,酸枣仁安神茶,养心安神茶,酸枣仁10克、茯苓6克、知母5克,沸水冲泡，加盖闷15分钟,养心安神,阴虚体质,失眠多梦者,7-14天,脾虚泄泻者慎用
2,金银花清凉茶,清热解毒茶,金银花5克、薄荷3克、甘草2克,沸水冲泡5-10分钟,清热解毒,风热表证,外感风热者,3-5天,脾胃虚寒者不宜
3,四君子益气茶,健脾益气茶,党参10克、白术9克、茯苓9克、甘草6克,水煎代茶或沸水闷泡20分钟,健脾益气,气虚体质,乏力食少者,2-4周,实热证忌用
4,沙参麦冬润肺茶,滋阴润肺茶,北沙参10克、麦冬10克、玉竹8克,沸水冲泡15分钟,滋阴润肺,肺燥咳嗽,干咳少痰者,7-10天,痰湿咳嗽者不宜
5,玫瑰解郁茶,疏肝解郁茶,玫瑰花6克、佛手片5克、陈皮3克,80-85℃热水冲泡10分钟,疏肝解郁,肝气郁结,情绪抑郁者,1-2周,孕妇慎用
6,姜枣温中茶,温中散寒茶,生姜3片、红枣3枚、红糖适量,沸水冲泡或小火煮5分钟,温中散寒,脾胃虚寒,胃寒腹痛者,5-7天,阴虚内热者忌服
7,丹参活血茶,活血化瘀茶,丹参6克、山楂5克、红糖少许,沸水冲泡15分钟,活血化瘀,血瘀体质,心脉瘀阻者,2-3周,出血倾向者禁用
8,荷叶祛湿茶,祛湿消肿茶,荷叶5克、薏苡仁10克、陈皮3克,沸水冲泡或煎煮10分钟,祛湿消肿,痰湿体质,肥胖水肿者,1-2周,孕妇及体瘦阴虚者慎用
9,决明子通便茶,润肠通便茶,决明子10克、蜂蜜适量,沸水冲泡10分钟,润肠通便,阴虚体质,便秘者,3-5天,脾虚腹泻者不宜
10,玉屏风固表茶,益气固表茶,黄芪12克、白术8克、防风5克,水煎代茶或沸水闷泡,益气固表,气虚体质,易感冒者,2-4周,外感发热时停用
11,枸杞明目茶,明目退翳茶,枸杞子10克、菊花5克,沸水冲泡10分钟,明目退翳,阴虚体质,视力模糊者,长期饮用,感冒发热者暂停
12,胖大海利咽茶,利咽开音茶,胖大海2枚、甘草3克、桔梗5克,沸水冲泡15分钟,利咽开音,肺燥咳嗽,咽喉肿痛者,3-7天,脾胃虚寒者慎用
13,山楂降脂茶,降脂减肥茶,山楂10克、荷叶5克、决明子10克,沸水冲泡15分钟,降脂减肥,痰湿体质,高血脂者,1-2月,孕妇慎用
14,乌梅生津茶,生津止渴茶,乌梅5克、甘草3克、冰糖适量,沸水冲泡10分钟,生津止渴,阴虚体质,口干舌燥者,7-10天,感冒初期不宜
15,紫苏解表茶,解表散寒茶,紫苏叶5克、生姜3片,沸水冲泡10分钟,解表散寒,风寒表证,风寒感冒者,1-3天,阴虚火旺者慎用
16,石膏清热茶,清热泻火茶,生石膏15克、知母6克,水煎代茶,清热泻火,阳虚体质,高热烦渴者,1-3天,脾胃虚寒者禁用
17,槐花凉血茶,凉血止血茶,槐花10克、侧柏叶6克,沸水冲泡15分钟,凉血止血,血热妄行,便血痔血者,5-7天,脾胃虚寒者慎用
18,苏梗安胎茶,安胎止呕茶,紫苏梗6克、陈皮5克,沸水冲泡15分钟,安胎止呕,气滞妊娠,妊娠呕吐者,孕期适量,阴虚火旺者慎用
19,山药消食茶,消食导滞茶,山药15克、山楂6克、麦芽10克,水煎代茶,消食导滞,脾胃虚弱,消化不良者,3-5天,无积滞者不宜
20,百合润燥茶,滋阴润肺茶,百合10克、麦冬6克,沸水冲泡15分钟,滋阴润肺,阴虚体质,干咳燥咳者,7-10天,风寒咳嗽者不宜
21,薄荷清利茶,清热解毒茶,薄荷叶5克、绿茶3克,85℃热水冲泡5分钟,清热解毒,风热表证,头痛目赤者,3-5天,阳虚体质者慎用
22,人参补气茶,健脾益气茶,人参片3克、大枣3枚,沸水冲泡或隔水炖20分钟,健脾益气,气虚体质,体虚乏力者,1-2周,实热证禁用
23,麦冬养阴茶,滋阴润肺茶,麦冬10克、生地6克,沸水冲泡15分钟,滋阴润肺,阴虚体质,口干咽燥者,7-10天,脾胃虚寒者慎用
24,香附疏肝茶,疏肝解郁茶,香附6克、柴胡5克,沸水冲泡15分钟,疏肝解郁,肝气郁结,胸胁胀痛者,1-2周,阴虚火旺者慎用
25,干姜温脾茶,温中散寒茶,干姜3克、甘草3克,沸水冲泡10分钟,温中散寒,脾胃虚寒,脘腹冷痛者,3-5天,阴虚内热者禁用
26,桃仁活血茶,活血化瘀茶,桃仁6克、红花3克,沸水冲泡15分钟,活血化瘀,血瘀体质,痛经闭经者,5-7天,孕妇禁用
27,茯苓渗湿茶,祛湿消肿茶,茯苓10克、白术6克,沸水冲泡或水煎,祛湿消肿,痰湿体质,水肿便溏者,1-2周,阴虚津亏者慎用
28,火麻仁润肠茶,润肠通便茶,火麻仁10克、杏仁6克,沸水冲泡15分钟,润肠通便,阴虚体质,肠燥便秘者,3-5天,脾虚便溏者不宜
29,白术健脾茶,健脾益气茶,白术10克、陈皮5克,沸水冲泡或水煎,健脾益气,气虚体质,食欲不振者,2-4周,阴虚火旺者慎用
30,桑叶清肺茶,清热解毒茶,桑叶6克、菊花5克,沸水冲泡10分钟,清热解毒,风热表证,风热咳嗽者,3-5天,风寒感冒者不宜
31,柏子仁宁心茶,养心安神茶,柏子仁10克、茯神6克,沸水冲泡15分钟,养心安神,阴虚体质,心悸失眠者,7-14天,便溏者慎用
32,葛根解肌茶,解表散寒茶,葛根10克、生姜3片,沸水冲泡或水煎,解表散寒,风寒表证,项背强痛者,1-3天,阴虚火旺者慎用
33,栀子泻火茶,清热泻火茶,栀子6克、淡竹叶5克,沸水冲泡15分钟,清热泻火,阳虚体质,心烦口渴者,3-5天,脾胃虚寒者禁用
34,白茅根止血茶,凉血止血茶,白茅根15克、藕节10克,沸水冲泡或水煎,凉血止血,血热妄行,血热出血者,5-7天,脾胃虚寒者慎用
35,砂仁理气茶,消食导滞茶,砂仁3克、陈皮5克,沸水冲泡10分钟,消食导滞,脾胃虚弱,脘腹胀满者,3-5天,阴虚火旺者慎用
36,银柴胡退虚热茶,滋阴润肺茶,银柴胡6克、地骨皮10克,沸水冲泡15分钟,滋阴润肺,阴虚体质,骨蒸潮热者,7-10天,外感发热者不宜
