ID,名称,分类,组成药材及剂量,"冲泡方法","核心功效","适应体质/证型","适用人群","饮用疗程","禁忌说明"
1,百合枣红茶,滋阴养颜,百合 3g、熟地黄 4g、山药 5g、干枣 8颗,"水温90℃，浸泡10分钟",补气养血;滋阴润肺,"体质虚寒/气血不足","女性、更年期人群","每日一杯，连续服用2周后可停药或按需调节","孕妇慎用；对百合过敏者禁忌"
2,菊花金银花茶,清热解毒,菊花 5g、金银花 4g、薄荷叶 3g、甘草 1g,"水温80℃，浸泡8分钟",平肝明目;清热燥湿,"体质偏热/血热证型","眼疲劳者、感冒初期人群","每日两次，连续使用4周为宜","过量饮用易导致消化不良"
3,枸杞决明子茶,养肝护目,枸杞 6g、决明子 5g、菊花 3g、甘草 1.5g,"水温90℃，浸泡12分钟",补血养肾;清肝明目,"体质虚弱/肝阳上亢","视力疲劳者、久坐人群","每日两杯，连续6周后可调整剂量","不宜与含咖啡因饮品同服"
4,决明子菊花茶,清热解毒,决明子 5g、菊花 5g、金银花 2g、薄荷叶 3g,"水温80℃，浸泡10分钟",消炎镇痛;降压养血,"体质偏热/血瘀证型","高血压前期人群","每日两次，连续使用4周为宜","孕妇禁用；对金银花过敏者慎服"
5,川贝枇杷茶,润肺止咳,川贝母 3g、枇杷叶 4g、甘草 1.5g、蜂蜜适量,"水温90℃，浸泡15分钟",养阴润肺;止咳化痰,"体质虚寒/肺燥证型","儿童感冒后期、咽喉不适人群","每日两杯，连续使用1周为宜","孕妇慎用；糖尿病患者需控制蜂蜜量"
6,枸杞红枣茶,补血养颜,枸杞 5g、红枣 8颗、熟地黄 4g、甘草 1.5g,"水温90℃，浸泡10分钟",补气养血;调经止痛,"体质虚弱/气血不足","女性月经不调人群","每日两杯，连续使用2周后可停药或按需调整","过量饮用易导致便秘"
7,生姜红糖茶,温阳散寒,生姜 10g、红糖 15g、桂皮 3g、蜂蜜适量,"水温100℃，浸泡5分钟",发汗祛湿;补脾胃,"体质偏寒/脾胃虚弱","手脚冰凉者、孕妇早期人群","每日两次，连续使用1周为宜","孕晚期不宜；糖尿病患者需控制红糖量"
8,薄荷柠檬茶,清热提神,薄荷叶 5g、柠檬片 3片、甘草 1.5g、蜂蜜适量,"水温80℃，浸泡8分钟",解暑开胃;消食安神,"体质偏热/口干咽燥","工作繁忙人群、感冒初期","每日两杯，连续使用2周为宜","孕妇慎用；对柠檬过敏者禁忌"
9,甘草黄芪茶,补气固表,甘草 1.5g、黄芪 6g、党参 4g、熟地黄 3g,"水温90℃，浸泡12分钟",益气养血;提升免疫力,"体质虚弱/气血不足","长期疲劳人群、慢性病康复期","每日两杯，连续使用4周为宜","过量饮用易导致消化不良"
10,丹参百合茶,活血舒筋,丹参 5g、百合 3g、红花 2g、甘草 1.5g,"水温90℃，浸泡10分钟",活血祛瘀;镇痛安神,"体质偏寒/气滞血瘀","风湿疼痛人群","每日两次，连续使用3周后可停药或按需调整","孕妇慎用；对丹参过敏者禁忌"
11,决明子甘草茶,养肝护目,决明子 5g、甘草 2g、金银花 1.5g、薄荷叶 3g,"水温80℃，浸泡10分钟",清肝明目;补气养血,"体质虚弱/肝阳上亢","视力疲劳者、久坐人群","每日两杯，连续6周后可调整剂量","不宜与含咖啡因饮品同服"
12,金银花菊花茶,清热解毒,金银花 5g、菊花 4g、薄荷叶 2g、甘草 1.5g,"水温80℃，浸泡8分钟",平肝明目;降压养血,"体质偏热/血瘀证型","高血压前期人群","每日两次，连续使用4周为宜","孕妇禁用；对金银花过敏者慎服"
13,桂枝茯苓茶,温阳散寒,桂枝 6g、茯苓 5g、白术 3g、甘草 1.5g,"水温90℃，浸泡12分钟",发汗祛湿;补脾胃,"体质偏寒/脾胃虚弱","手脚冰凉者、孕妇早期人群","每日两次，连续使用1周为宜","孕晚期不宜；糖尿病患者需控制红糖量"
14,百合木香茶,滋阴养颜,百合 4g、木香 3g、甘草 1.5g、枸杞 2g,"水温90℃，浸泡10分钟",补气养血;滋阴润肺,"体质虚寒/气血不足","女性、更年期人群","每日一杯，连续服用2周后可停药或按需调节","孕妇慎用；对百合过敏者禁忌"
15,生地黄桂枝茶,养阴补血,生地黄 4g、桂枝 5g、甘草 1.5g、熟地黄 3g,"水温90℃，浸泡12分钟",补气养血;滋阴润肺,"体质虚寒/气血不足","女性、更年期人群","每日一杯，连续服用2周后可停药或按需调节","孕妇慎用；对桂枝过敏者禁忌"
16,枸杞红糖茶,温阳散寒,枸杞 4g、红糖 10g、桂皮 3g、甘草 1.5g,"水温100℃，浸泡5分钟",发汗祛湿;补脾胃,"体质偏寒/脾胃虚弱","手脚冰凉者、孕妇早期人群","每日两次，连续使用1周为宜","孕晚期不宜；糖尿病患者需控制红糖量"
17,薄荷生姜茶,清热提神,薄荷叶 4g、生姜 5g、甘草 1.5g、蜂蜜适量,"水温80℃，浸泡8分钟",解暑开胃;消食安神,"体质偏热/口干咽燥","工作繁忙人群、感冒初期","每日两杯，连续使用2周为宜","孕妇慎用；对薄荷过敏者禁忌"
18,黄芪枸杞茶,补气养血,黄芪 6g、枸杞 4g、党参 3g、甘草 1.5g,"水温90℃，浸泡12分钟",益气养血;提升免疫力,"体质虚弱/气血不足","长期疲劳人群、慢性病康复期","每日两杯，连续使用4周为宜","过量饮用易导致消化不良"
19,丹参薄荷茶,活血舒筋,丹参 5g、薄荷叶 3g、甘草 1.5g、金银花 2g,"水温90℃，浸泡10分钟",活血祛瘀;镇痛安神,"体质偏寒/气滞血瘀","风湿疼痛人群","每日两次，连续使用3周后可停药或按需调整","孕妇慎用；对丹参过敏者禁忌"
20,决明子桂枝茶,养肝护目,决明子 5g、桂枝 4g、甘草 1.5g、薄荷叶 3g,"水温80℃，浸泡10分钟",清肝明目;补气养血,"体质虚弱/肝阳上亢","视力疲劳者、久坐人群","每日两杯，连续6周后可调整剂量","不宜与含咖啡因饮品同服"
