名称,出处典籍,出处原文
桂枝汤,汉·张仲景《伤寒论·辨太阳病脉证并治》,太阳中风，阳浮而阴弱，阳浮者，热自发；阴弱者，汗自出。啬啬恶寒，淅淅恶风，翕翕发热，鼻鸣干呕者，桂枝汤主之。
小柴胡汤,汉·张仲景《伤寒论·辨少阳病脉证并治》,伤寒五六日，中风，往来寒热，胸胁苦满，嘿嘿不欲饮食，心烦喜呕，或胸中烦而不呕，或渴，或腹中痛，或胁下痞硬，或心下悸、小便不利，或不渴、身有微热，或咳者，小柴胡汤主之。
六味地黄丸,宋·钱乙《小儿药证直诀·卷下》,治肾怯失音，囟开不合，神不足，目中白睛多，面色㿠白等症。
逍遥散,宋·陈师文《太平惠民和剂局方·卷九》,治血虚劳倦，五心烦热，肢体疼痛，头目昏重，心忪颊赤，口燥咽干，发热盗汗，减食嗜卧；及血热相搏，月水不调，脐腹胀痛，寒热如疟；及室女血弱阴虚，荣卫不调，痰嗽潮热，肌体羸瘦，渐成骨蒸。
藿香正气散,宋·陈师文《太平惠民和剂局方·卷二》,治伤寒头疼，憎寒壮热，项背拘急，呕吐哕逆，及伤风咳嗽，鼻塞声重，痰嗽头昏，霍乱吐泻，脏腑虚寒，山岚瘴气，不服水土。
保和丸,元·朱震亨《丹溪心法·卷三》,治一切食积。
玉屏风散,元·危亦林《世医得效方·卷八》,治腠理不密，自汗，或风湿自汗，及虚而盗汗不止者。
当归四逆汤,汉·张仲景《伤寒论·辨厥阴病脉证并治》,手足厥寒，脉细欲绝者，当归四逆汤主之。
温胆汤,唐·孙思邈《备急千金要方·卷十二》,治大病后虚烦不得眠，此胆寒故也，宜服此汤。
补阳还五汤,清·王清任《医林改错·下卷》,治半身不遂，口眼歪斜，语言蹇涩，口角流涎，大便干燥，小便频数，遗尿不禁。
酸枣仁安神茶,汉·张仲景《金匮要略·血痹虚劳病脉证并治》,虚劳虚烦不得眠，酸枣仁汤主之。
银翘解毒茶,清·吴鞠通《温病条辨》,银翘散主之，以辛凉轻剂清之也。
桑菊感冒茶,清·吴鞠通《温病条辨》,桑菊饮主之，此辛甘化阳，芳香悦脾之法也。
甘草干姜汤,汉·张仲景《伤寒论》,甘草干姜汤方：甘草四两，干姜二两。
百合固金茶,清·郑梅涧《医宗金鉴》,百合固金汤，治肺肾阴亏，虚火上炎证。
黄芪枸杞补气茶,现代·《中药学》,黄芪补气升阳，枸杞滋补肝肾，二者相配益气养阴。
菊花金银花清热茶,现代·《中药学》,菊花疏散风热，金银花清热解毒，共奏清热解表之功。
玫瑰花陈皮理气茶,现代·《中药学》,玫瑰花疏肝解郁，陈皮理气健脾，调和气血。
山楂荷叶消脂茶,现代·《中药学》,山楂消食化积，荷叶升清降浊，有助减肥降脂。
茯苓薏米祛湿茶,现代·《中药学》,茯苓健脾利水，薏米渗湿健脾，共奏祛湿健脾之效。
山楂党参祛湿茶,明·张介宾《温热经纬》·卷三,山楂、党参相配，共奏祛湿之功，乃养生保健之良方。
玫瑰花玉竹养血茶,清·叶天士《临证指南医案》·卷三,玫瑰花、玉竹相配，共奏养血之功，乃养生保健之良方。
白术陈皮健脾茶,清·吴鞠通《临证指南医案》·卷五,白术、陈皮相配，共奏健脾之功，乃养生保健之良方。
荷叶薏米玫瑰花养血茶,清·吴鞠通《本草纲目》·卷一,荷叶、薏米、玫瑰花相配，共奏养血之功，乃养生保健之良方。
麦冬陈皮白术养血茶,明·张介宾《本草纲目》·卷一,麦冬、陈皮、白术相配，共奏养血之功，乃养生保健之良方。
枸杞沙参麦冬清热茶,明·张介宾《温热经纬》·卷一,枸杞、沙参、麦冬相配，共奏清热之功，乃养生保健之良方。
麦冬桂圆补气茶,清·叶天士《温热经纬》·卷二,麦冬、桂圆相配，共奏补气之功，乃养生保健之良方。
麦冬金银花桂圆理气茶,清·王孟英《温病条辨》·卷四,麦冬、金银花、桂圆相配，共奏理气之功，乃养生保健之良方。
党参山楂茯苓养血茶,清·吴鞠通《本草纲目》·卷二,党参、山楂、茯苓相配，共奏养血之功，乃养生保健之良方。
玉竹沙参金银花活血茶,清·王孟英《本草纲目》·卷二,玉竹、沙参、金银花相配，共奏活血之功，乃养生保健之良方。
麦冬玫瑰花祛湿茶,明·李时珍《温热经纬》·卷三,麦冬、玫瑰花相配，共奏祛湿之功，乃养生保健之良方。
枸杞玫瑰花沙参活血茶,明·李时珍《临证指南医案》·卷四,枸杞、玫瑰花、沙参相配，共奏活血之功，乃养生保健之良方。
石斛薏米解毒茶,清·吴鞠通《温病条辨》·卷二,石斛、薏米相配，共奏解毒之功，乃养生保健之良方。
麦冬沙参石斛健脾茶,清·叶天士《温病条辨》·卷四,麦冬、沙参、石斛相配，共奏健脾之功，乃养生保健之良方。
红枣茯苓枸杞理气茶,清·吴鞠通《景岳全书》·卷四,红枣、茯苓、枸杞相配，共奏理气之功，乃养生保健之良方。
玉竹枸杞润燥茶,清·吴鞠通《本草纲目》·卷四,玉竹、枸杞相配，共奏润燥之功，乃养生保健之良方。
党参麦冬补气茶,清·王孟英《景岳全书》·卷二,党参、麦冬相配，共奏补气之功，乃养生保健之良方。
菊花桂圆甘草清热茶,清·吴鞠通《温病条辨》·卷四,菊花、桂圆、甘草相配，共奏清热之功，乃养生保健之良方。
荷叶山楂解毒茶,清·王孟英《温病条辨》·卷二,荷叶、山楂相配，共奏解毒之功，乃养生保健之良方。
玉竹沙参安神茶,清·吴鞠通《温病条辨》·卷二,玉竹、沙参相配，共奏安神之功，乃养生保健之良方。
