编号,名称
1,甘草黄耆茶
2,山楂枸杞茶
3,菊花桂枝茶
4,白芍丹皮茶
5,柴胡龙胆茶
6,茯苓桂枝茶
7,党参黄耆茶
8,山药枸杞茶
9,熟地茯苓茶
10,人参麦冬茶
11,当归桂枝茶
12,丹皮黄芪茶
13,枸杞菊花茶
14,茯苓人参茶
15,桂枝香附茶
16,黄耆党参茶
17,丹皮枇杷叶茶
18,山楂桂枝茶
19,白芍熟地黄茶
20,川贝枇杷叶茶
21,茯苓桂枝茶
22,党参人参茶
23,黄耆枸杞茶
24,丹皮生姜茶
25,山楂茯苓茶
26,桂枝香附茶
27,白芍丹皮茶
28,川贝枇杷叶茶
29,茯苓人参茶
30,党参黄耆茶
31,山药枇杷叶茶
32,熟地茯苓茶
33,桂枝香附茶
34,黄耆党参茶
35,丹皮枇杷叶茶
36,山楂桂枝茶
37,白芍熟地黄茶
38,川贝枇杷叶茶
39,茯苓桂枝茶
40,党参人参茶
41,黄耆枸杞茶
42,丹皮生姜茶
43,山楂茯苓茶
44,桂枝香附茶
45,白芍丹皮茶
46,川贝枇杷叶茶
47,茯苓人参茶
48,党参黄耆茶
49,山药枇杷叶茶
50,熟地茯苓茶
51,桂枝香附茶
52,黄耆党参茶
53,丹皮枇杷叶茶
54,山楂桂枝茶
55,白芍熟地黄茶
56,川贝枇杷叶茶
57,茯苓桂枝茶
58,党参人参茶
59,黄耆枸杞茶
60,丹皮生姜茶
61,山楂茯苓茶
62,桂枝香附茶
63,白芍丹皮茶
64,川贝枇杷叶茶
65,茯苓人参茶
66,党参黄耆茶
67,山药枇杷叶茶
68,熟地茯苓茶
69,桂枝香附茶
70,黄耆党参茶
71,丹皮枇杷叶茶
72,山楂桂枝茶
73,白芍熟地黄茶
74,川贝枇杷叶茶
75,茯苓桂枝茶
76,党参人参茶
77,黄耆枸杞茶
78,丹皮生姜茶
79,山楂茯苓茶
80,桂枝香附茶
81,白芍丹皮茶
82,川贝枇杷叶茶
83,茯苓人参茶
84,党参黄耆茶
85,山药枇杷叶茶
86,熟地茯苓茶
87,桂枝香附茶
88,黄耆党参茶
89,丹皮枇杷叶茶
90,山楂桂枝茶
91,白芍熟地黄茶
92,川贝枇杷叶茶
93,茯苓桂枝茶
94,党参人参茶
95,黄耆枸杞茶
96,丹皮生姜茶
97,山楂茯苓茶
98,桂枝香附茶
99,白芍丹皮茶
100,川贝枇杷叶茶
101,茯苓人参茶
102,党参黄耆茶
103,山药枇杷叶茶
104,熟地茯苓茶
105,桂枝香附茶
106,黄耆党参茶
107,丹皮枇杷叶茶
108,山楂桂枝茶
109,白芍熟地黄茶
110,川贝枇杷叶茶
111,茯苓桂枝茶
112,党参人参茶
113,黄耆枸杞茶
114,丹皮生姜茶
115,山楂茯苓茶
116,桂枝香附茶
117,白芍丹皮茶
118,川贝枇杷叶茶
119,茯苓人参茶
120,党参黄耆茶
121,山药枇杷叶茶
122,熟地茯苓茶
123,桂枝香附茶
124,黄耆党参茶
125,丹皮枇杷叶茶
126,山楂桂枝茶
127,白芍熟地黄茶
128,川贝枇杷叶茶
129,茯苓桂枝茶
130,党参人参茶
131,黄耆枸杞茶
132,丹皮生姜茶
133,山楂茯苓茶
134,桂枝香附茶
135,白芍丹皮茶
136,川贝枇杷叶茶
137,茯苓人参茶
138,党参黄耆茶
139,山药枇杷叶茶
140,熟地茯苓茶
141,桂枝香附茶
142,黄耆党参茶
143,丹皮枇杷叶茶
144,山楂桂枝茶
145,白芍熟地黄茶
146,川贝枇杷叶茶
147,茯苓桂枝茶
148,党参人参茶
149,黄耆枸杞茶
150,丹皮生姜茶
151,山楂茯苓茶
152,桂枝香附茶
153,白芍丹皮茶
154,川贝枇杷叶茶
155,茯苓人参茶
156,党参黄耆茶
157,山药枇杷叶茶
158,熟地茯苓茶
159,桂枝香附茶
160,黄耆党参茶
161,丹皮枇杷叶茶
162,山楂桂枝茶
163,白芍熟地黄茶
164,川贝枇杷叶茶
165,茯苓桂枝茶
166,党参人参茶
167,黄耆枸杞茶
168,丹皮生姜茶
169,山楂茯苓茶
170,桂枝香附茶
171,白芍丹皮茶
172,川贝枇杷叶茶
173,茯苓人参茶
174,党参黄耆茶
175,山药枇杷叶茶
176,熟地茯苓茶
177,桂枝香附茶
178,黄耆党参茶
179,丹皮枇杷叶茶
180,山楂桂枝茶
181,白芍熟地黄茶
182,川贝枇杷叶茶
183,茯苓桂枝茶
184,党参人参茶
185,黄耆枸杞茶
186,丹皮生姜茶
187,山楂茯苓茶
188,桂枝香附茶
189,白芍丹皮茶
190,川贝枇杷叶茶
191,茯苓人参茶
192,党参黄耆茶
193,山药枇杷叶茶
194,熟地茯苓茶
195,桂枝香附茶
196,黄耆党参茶
197,丹皮枇杷叶茶
198,山楂桂枝茶
199,白芍熟地黄茶
200,川贝枇杷叶茶
