field,desc,ocean-field,ocean-desc,tencent-field,tencent-desc
id,ID,,,,
event,事件id,,,,
eventName,事件名称,,,,
unionId,unionId,,,,
createTime,创建时间,,,,
timeFree,timeFree,,,,
identityImei,国际移动设备设备码,imei,安卓的设备 ID 的 md5,muid,设备id（imei或idfa的加密值）
identityOaid,匿名设备标识符,oAid,Android Q及更高版本的设备号,,
loginId,登录ID,,,,
wxOpenId,微信应用用户OpenID,,,wechatOpenid,小程序OpenID
wxUnionId,微信应用用户UnionId,,,,
identityAndroidId,ANDROID_ID,androidId,安卓id原值的md5,hashAndroidId,安卓id做md5加密后小写
identityMac,mac地址,mac,移动设备mac地址,,
identityIdfa,iOS广告标识符,idfa,IOS 6+的设备id,,
identityIdfv,iOS应用开发商标识符,,,,
identityMobile,手机号,,,,
identityUa,ua信息,ua,用户代理,userAgent,用户代理（user_agent）
appVersion,应用版本号,,,,
isWifi,是否WiFi,,,,
ip,IP,ip,IP 地址,ip,媒体投放系统获取的用户终端的公共IPV4地址
manufacturer,厂家制造商,,,,
model,设备型号,model,手机型号,model,机型
os,操作系统,os,操作系统平台,deviceOsType,设备类型
osVersion,操作系统版本,,,deviceOsVersion,操作系统版本
screenWidth,屏幕宽,,,,
screenHeight,屏幕高,,,,
trafficType,流量类型,,,,
promotionChannel,推广渠道,,,,
promotionMethod,推广方式,,,promotedObjectType,推广类型
appType,应用类型,,,,
adId,广告ID,promotionId,广告ID,adgroupId,广告组id（实际为广告id）
promotionId,推广ID,,,,
deviceId,设备ID,,,,
itemId,产品ID,,,,
promotionMedia,推广媒体,,,,
platformKind,平台类型,,,,
projectId,项目ID,projectId,项目ID,,
adName,广告名称,promotionName,广告名称,adgroupName,广告组名称
projectName,项目名称,projectName,项目名称,,
mid1,图片ID,mid1,图片ID,,
mid2,标题ID,mid2,标题ID,,
mid3,视频ID,mid3,视频ID,,
mid4,搭配试玩ID,mid4,搭配试玩ID,,
mid5,落地页ID,mid5,落地页ID,,
mid6,安卓下载详情页ID,mid6,安卓下载详情页ID,,
aid,广告计划id,aid,广告计划id,,
aidName,广告计划名称,aidName,广告计划名称,,
cid,广告创意 id,cid,广告创意 id,dynamicCreativeId,创意 ID
cidName,广告创意名称,cidName,广告创意名称,dynamicCreativeName,创意名称
campaignId,广告组 id,campaignId,广告组 id,,
campaignName,广告组名称,campaignName,广告组名称,,
cType,创意样式,cType,创意样式,,
advertiserId,广告主id,advertiserId,广告主id,accountId,广告主id
cSite,广告投放位置,cSite,广告投放位置,siteSetName,广告版位
convertId,转化id,convertId,转化id,,
trackId,请求下发的id&创意id的md5,trackId,请求下发的id&创意id的md5,,
sl,这次请求的语言,sl,这次请求的语言,,
idfaMd5,IOS 6+的设备id的md5,idfaMd5,IOS 6+的设备id的md5,,
oAidMd5,Android Q及更高版本的设备号的md5,oAidMd5,Android Q及更高版本的设备号的md5,hashOaid,Android Q 及更高版本的设备号，64位及以下，取原值后做md5加密
mac1,移动设备 mac 地址,mac1,移动设备 mac 地址,,
ipv4,IP 地址,ipv4,IP 地址,,
ipv6,IP 地址,ipv6,IP 地址,ipv6,媒体投放系统获取的用户终端的公共IPV6地址
geo,位置信息,geo,位置信息,,
ts,客户端发生广告点击事件的时间,ts,客户端发生广告点击事件的时间,,
callbackParam,回调参数,callbackParam,回调参数,,
callbackUrl,回传接口的url,callbackUrl,回传接口的url,callback,上报信息回传接口的 url
unionSite,对外广告位编码,unionSite,对外广告位编码,,
cAid,互联网广告标识,cAid,互联网广告标识,caid,URL Encode后的JSON数组
cAidMd5,广告标识,cAidMd5,广告标识,,
productId,商品id,productId,商品id,,
outerId,商品id,outerId,商品id,,
clickId,点击id,,,clickId,点击id
clickTime,点击时间,,,clickTime,点击时间
impressionTime,曝光时间,,,impressionTime,曝光时间
creativeComponentsInfo,创意组件信息,,,creativeComponentsInfo,创意组件信息
elementInfo,素材信息,,,elementInfo,素材信息
marketingGoal,一级营销目的,,,marketingGoal,一级营销目的
marketingSubGoal,二级营销目的,,,marketingSubGoal,二级营销目的
marketingTargetId,营销对象,,,marketingTargetId,营销对象
marketingCarrierId,一级营销载体,,,marketingCarrierId,一级营销载体
marketingSubCarrierId,二级营销载体,,,marketingSubCarrierId,二级营销载体
marketingAssetId,营销资产ID,,,marketingAssetId,营销资产ID
materialPackageId,素材标签ID,,,materialPackageId,素材标签ID
adPlatformType,广告投放平台,,,adPlatformType,广告投放平台
adType,广告类型,,,adType,广告类型
agencyId,代理商id,,,agencyId,代理商id
clickSkuId,点击sku,,,clickSkuId,点击sku
billingEvent,计费类型,,,billingEvent,计费类型
deeplinkUrl,应用直达链接（Android）,,,deeplinkUrl,应用直达链接（Android）
universalLink,应用直达链接（iOS）,,,universalLink,应用直达链接（iOS）
pageUrl,落地页地址,,,pageUrl,落地页地址
processTime,请求时间,,,process_time,请求时间
promotedObjectId,应用id,,,promotedObjectId,应用id
impressionId,曝光id,,,impressionId,曝光id
encryptedPositionId,联盟广告位id,,,encryptedPositionId,联盟广告位id
qAidCAid,URL Encode后的JSON数组,,,qaidCaid,URL Encode后的JSON数组
ipMd5,公共IPV4地址MD5,,,ipMd5,公共IPV4地址MD5
ipv6Md5,公共IPV6地址MD5,,,ipv6Md5,公共IPV6地址MD5
channelPackageId,渠道包id,,,channelPackageId,渠道包id
actType,行为类型,,,actType,行为类型
actTime,行为时间,,,actTime,行为时间
